FileDesignation	Ltotal	L20	L25	L32	L40	L50	L63	L80	L100	L125	L160	L200	L250	L315	L400	L500	L630	L800	L1k	L1k25	L1k6	L2k	L2k5	L3k15	L4k	L5k	L6k3	L8k	L10k	L12k5	L16k
44	-24.535	-106.057	-91.323	-82.578	-73.078	-60.676	-58.058	-45.828	-36.183	-29.818	-30.965	-35.634	-32.172	-38.199	-43.606	-44.409	-41.068	-42.941	-43.908	-40.694	-45.932	-43.463	-46.008	-49.345	-52.438	-54.246	-49.229	-55.71	-64.547	-70.235	-78.551
45	-27.622	-97.278	-91.165	-86.252	-77.154	-63.746	-59.131	-38.132	-35.178	-37.403	-40.794	-36.188	-36.005	-41.874	-42.236	-41.507	-44.444	-49.825	-49.608	-45.507	-46.416	-40.52	-40.55	-45.776	-47.591	-52.069	-48.45	-50.476	-57.358	-64.441	-75.166
46	-27.685	-105.691	-91.566	-85.299	-74.911	-63.909	-58.005	-45.674	-36.178	-34.555	-39.164	-37.565	-37.267	-42.482	-41.882	-38.094	-37.505	-45.766	-48.25	-44.838	-46.729	-42.628	-46.198	-52.5	-53.334	-59.785	-54.806	-58.148	-63.215	-70.655	-80.176
47	-28.66	-101.964	-95.401	-90.554	-80.414	-67.745	-65.39	-53.712	-39.206	-35.663	-38.532	-38.611	-37.005	-44.145	-38.266	-42.955	-46.597	-54.551	-51.449	-50.971	-47.86	-41.429	-42.451	-45.393	-52.168	-50.457	-43.24	-50.326	-56.937	-64.214	-80.048
48	-25.36	-106.448	-93.485	-84.801	-73.517	-62.466	-60.014	-50.501	-38.797	-32.04	-31.209	-38.491	-33.243	-38.821	-39.987	-42.969	-39.059	-44.778	-46.368	-39.114	-41.709	-44.667	-44.984	-44.539	-52.079	-50.767	-44.321	-45.609	-57.905	-65.739	-77.777
49	-26.21	-100.263	-88.766	-80.683	-69.361	-58.79	-56.329	-44.511	-35.981	-34.381	-32.373	-37.749	-36.221	-37.041	-40.753	-37.766	-40.794	-46.722	-48.79	-41.509	-46.838	-42.133	-44.782	-47.5	-48.778	-52.538	-47.633	-51.551	-61.821	-67.272	-79.411
50	-26.96	-104.747	-92.57	-87.479	-75.787	-66.916	-62.162	-46.996	-32.308	-35.951	-41.229	-34.085	-37.274	-42.932	-38.953	-40.039	-42.085	-45.039	-44.791	-42.47	-44.099	-48.349	-48.929	-49.839	-55.725	-53.536	-49.281	-57.917	-64.763	-71.375	-83.776
51	-24.485	-104.543	-93.183	-82.99	-72.45	-59.819	-54.226	-48.754	-38.314	-34.463	-35.001	-38.705	-38.13	-42.625	-43.396	-39.212	-30.827	-31.97	-38.271	-32.911	-41.992	-46.329	-44.132	-48.754	-50.13	-53.342	-49.299	-51.181	-59.534	-67.61	-78.252
52	-26.597	-106.772	-92.984	-86.962	-75.843	-67.733	-61.048	-40.439	-36.583	-37.452	-38.912	-34.799	-35.566	-43.992	-43.267	-41.33	-35.277	-40.292	-41.884	-36.538	-43.2	-44.782	-41.968	-46.435	-53.584	-58.942	-54.836	-59.5	-64.23	-69.519	-81.707
53	-23.31	-110.194	-92.985	-87.028	-76.058	-68.365	-63.919	-44.117	-34.146	-34.458	-42.503	-34.161	-35.828	-38.904	-44.641	-40.096	-30.518	-33.385	-35.31	-28.959	-44.21	-45.412	-46.615	-50.291	-53.778	-57.883	-54.226	-55.708	-63.239	-70.205	-79.804
54	-23.747	-103.782	-87.67	-80.407	-71.881	-61.907	-55.534	-42.486	-32.927	-34.051	-40.513	-32.327	-31.773	-36.885	-40.052	-37.898	-37.04	-42.968	-47.105	-36.169	-34.492	-38.427	-37.843	-41.084	-42.311	-46.169	-38.364	-41.673	-53.702	-60.207	-70.092
55	-26.96	-95.95	-93.926	-85.243	-74.258	-65.037	-60.855	-42.019	-38.126	-38.268	-41.018	-38.01	-35.816	-44.901	-42.325	-36.795	-34.373	-41.353	-37.283	-36.839	-48.202	-44.316	-50.878	-53.836	-60.883	-72.088	-68.367	-70.89	-71.439	-78.674	-87.765
