FileDesignation	Ltotal	L20	L25	L32	L40	L50	L63	L80	L100	L125	L160	L200	L250	L315	L400	L500	L630	L800	L1k	L1k25	L1k6	L2k	L2k5	L3k15	L4k	L5k	L6k3	L8k	L10k	L12k5	L16k
164	-26.56	-99.559	-90.236	-81.727	-71.693	-61.226	-56.962	-46.829	-34.833	-38.952	-40.213	-37.092	-40.725	-40.551	-41.943	-35.604	-33.392	-36.374	-39.822	-40.326	-48.901	-45.726	-46.854	-53.4	-51.637	-52.593	-49.643	-51.291	-58.187	-68.579	-78.183
165	-27.71	-107.48	-93.899	-85.873	-75.244	-63.38	-54.455	-50.831	-37.244	-35.208	-41.382	-38.888	-39.278	-46.38	-44.827	-39.018	-34.432	-40.872	-42.4	-39.545	-49.587	-43.797	-46.194	-48.355	-50.793	-52.862	-51.644	-49.522	-57.469	-66.329	-76.773
166	-26.71	-98.13	-90.426	-81.726	-71.022	-60.184	-55.332	-41.555	-32.48	-38.161	-40.678	-34.057	-37.936	-40.032	-42.41	-43.018	-40.801	-43.165	-46.413	-37.507	-42.515	-45.301	-47.1	-46.074	-51.472	-49.836	-42.584	-50.989	-60.585	-63.536	-77.244
167	-25.21	-102.503	-95.504	-87.614	-75.512	-64.435	-62.199	-45.18	-35.912	-36.726	-42.707	-36.066	-35.319	-43.262	-43.745	-37.775	-32.181	-35.422	-36.562	-32.957	-41.319	-52.208	-47.193	-49.503	-57.718	-62.116	-54.471	-56.183	-65.601	-71.997	-86.112
168	-27.885	-110.38	-94.607	-88.916	-76.844	-63.782	-58.207	-50.085	-41.984	-35.184	-34.956	-42.111	-35.637	-42.672	-37.9	-39.842	-39.891	-40.702	-45.248	-45.095	-48.84	-46.109	-48.452	-49.997	-55.219	-58.118	-53.286	-57.21	-62.245	-66.648	-79.538
169	-26.522	-101.703	-92.388	-86.176	-76.151	-60.597	-60.598	-47.605	-34.514	-34.193	-39.233	-33.49	-34.341	-41.264	-45.383	-43.519	-38.038	-47.055	-50.174	-43.572	-42.527	-41.402	-43.759	-47.658	-48.902	-53.738	-48.493	-53.265	-60.916	-63.255	-77.865
170	-26.672	-101.141	-91.307	-83.852	-73.946	-58.584	-53.985	-47.247	-35.762	-35.59	-35.964	-37.639	-36.385	-38.996	-39.243	-38.561	-37.034	-40.124	-40.059	-39.552	-44.734	-48.417	-47.214	-49.519	-50.744	-55.62	-53.535	-62.412	-61.502	-71.09	-83.647
171	-23.535	-104.572	-92.835	-84.228	-74.165	-61.469	-57.889	-50.21	-35.587	-31.002	-30.009	-38.142	-31.498	-35.834	-43.146	-40.321	-36.922	-37.977	-41.819	-32.716	-44.011	-38.451	-43.728	-47.692	-60.528	-68.993	-63.878	-64.432	-66.727	-72.582	-83.831
172	-24.685	-105.804	-93.028	-85.47	-76.779	-65.177	-58.339	-49.458	-35.11	-33.077	-29.533	-33.973	-32.401	-38.913	-40.647	-41.204	-43.993	-47.784	-48.79	-40.068	-45.388	-44.024	-46.904	-48.134	-55.878	-55.276	-48.815	-55.156	-61.707	-68.033	-79.107
173	-24.647	-104.245	-95.694	-82.569	-74.655	-63.211	-59.62	-48.063	-34.185	-31.802	-33.585	-35.443	-36.278	-37.289	-37.867	-37.403	-36.845	-44.653	-41.329	-37.578	-44.785	-46.128	-45.361	-41.832	-45.466	-46.581	-38.566	-38.986	-50.715	-58.08	-70.399
174	-26.66	-102.342	-90.307	-88.971	-74.802	-66.319	-63.002	-50.167	-33.213	-36.856	-43.196	-35.567	-41.379	-40.573	-42.825	-38.528	-35.058	-43.061	-47.166	-37.289	-38.741	-42.412	-45.753	-47.473	-50.436	-53.667	-48.432	-51.997	-61.735	-68.051	-79.836
175	-27.297	-99.936	-91.033	-85.336	-73.207	-62.888	-57.683	-42.473	-40.813	-34.109	-36.979	-39.398	-33.588	-42.122	-45.431	-45.272	-37.645	-43.525	-40.725	-39.956	-48.776	-45.289	-47.907	-46.42	-54.111	-56.767	-48.847	-53.256	-63.636	-68.443	-80.755
176	-27.322	-104.907	-95.855	-87.193	-73.074	-61.544	-59.129	-49.233	-39.176	-38.82	-43.167	-39.052	-38.051	-43.407	-42.91	-39.702	-34.936	-42.405	-45.227	-35.309	-39.142	-45.791	-38.892	-42.907	-48.228	-51.406	-46.173	-47.97	-56.422	-64.359	-77.258
177	-26.185	-107.305	-93.12	-82.412	-73.21	-60.755	-57.85	-38.686	-35.483	-37.592	-37.653	-32.87	-33.159	-39.77	-42.739	-39.69	-37.127	-41.086	-48.775	-43.769	-44.301	-44.623	-45.964	-49.961	-57.124	-62.323	-55.76	-58.307	-67.274	-72.047	-85.802
178	-26.11	-106.538	-91.95	-81.372	-71.618	-59.88	-54.557	-48.443	-38.448	-33.019	-34.882	-37.741	-34.759	-42.733	-37.021	-37.472	-38.37	-40.212	-39.292	-42.158	-44.989	-41.51	-44.354	-49.919	-50.238	-56.263	-52.402	-56.885	-61.519	-68.836	-80.708
179	-24.485	-104.001	-94.334	-85.178	-78.31	-65.814	-58.98	-55.465	-35.454	-31.28	-35.287	-34.123	-32.438	-40.825	-43.422	-38.548	-34.6	-37.375	-40.564	-33.988	-45.446	-46.629	-47.959	-54.96	-56.94	-64.795	-58.997	-59.726	-66.44	-72.415	-82.607
180	-27.735	-105.676	-97.766	-87.121	-76.78	-64.553	-57.659	-41.192	-38.098	-43.667	-40.096	-38.025	-42.513	-45.696	-43.761	-41.651	-35.572	-39.161	-40.345	-34.197	-42.543	-52.625	-47.234	-50.378	-51.703	-55.284	-46.578	-48.78	-60.144	-67.098	-78.856
181	-26.435	-105.098	-95.478	-89.446	-77.659	-62.723	-59.324	-44.498	-39.656	-36.681	-32.087	-38.516	-34.085	-36.426	-41.443	-40.036	-40.545	-42.645	-44.556	-38.74	-42.286	-46.59	-50.519	-51.683	-56.554	-60.503	-53.913	-58.933	-66.912	-72.659	-80.941
182	-25.097	-108.191	-96.244	-85.664	-75.841	-66.868	-61.331	-46.167	-37.552	-37.103	-41.34	-37.421	-38.635	-44.785	-41.756	-36.995	-31.284	-42.489	-38.749	-31.179	-38.367	-44.873	-41.541	-43.056	-47.846	-50.098	-43.899	-49.462	-58.591	-65.855	-73.9
183	-27.985	-105.991	-93.697	-86.353	-73.159	-60.492	-61.061	-48.018	-37.583	-38.254	-42.306	-37.738	-38.389	-41.879	-43.253	-40.484	-37.823	-41.693	-42.279	-35.678	-41.932	-44.782	-43.494	-51.14	-62.975	-77.07	-70.662	-68.505	-70.693	-76.781	-87.188
184	-27.485	-110.239	-95.751	-86.361	-75.991	-60.558	-55.968	-53.201	-41.682	-35.611	-39.95	-43.05	-40.25	-46.842	-42.259	-38.663	-34.082	-39.422	-38.747	-36.2	-48.274	-44.855	-47.897	-46.606	-49.074	-52.226	-46.095	-48.838	-57.894	-64.55	-78.353
185	-25.972	-105.212	-96.174	-84.178	-72.645	-63.135	-56.929	-46.802	-34.127	-31.296	-40.661	-36.057	-33.299	-43.358	-42.2	-39.146	-40.913	-45.943	-45.925	-41.474	-44.062	-44.705	-44.464	-48.619	-45.614	-49.254	-46.459	-46.106	-53.128	-61.718	-74.006
186	-24.397	-100.772	-96.338	-87.032	-74.265	-61.726	-57.786	-52.152	-37.594	-31.711	-28.425	-37.189	-32.154	-39.241	-44.026	-38.159	-41.297	-48.685	-51.806	-46.747	-44.838	-41.21	-42.466	-48.336	-54.704	-57.022	-54.806	-58.763	-64.029	-66.621	-77.086
187	-24.61	-102.193	-92.091	-86.022	-75.051	-61.289	-57.052	-45.229	-32.444	-32.346	-39.266	-33.488	-31.382	-41.122	-39.734	-36.351	-36.059	-42.061	-45.69	-41.15	-41.653	-43.287	-42.618	-47.088	-51.148	-53.518	-45.356	-51.485	-62.066	-67.638	-79.799
188	-23.622	-103.556	-91.754	-85.731	-74.274	-60.035	-54.56	-50.68	-34.019	-32.111	-30.978	-33.904	-33.241	-39.08	-42.882	-41.824	-31.57	-36.192	-37.084	-35.045	-48.938	-47.423	-47.719	-55.487	-61.542	-66.633	-61.917	-64.067	-70.095	-73.507	-85.255
189	-28.297	-104.591	-98.419	-87.288	-77.35	-63.41	-59.593	-52.092	-37.296	-35.346	-40.242	-37.768	-38.905	-41.601	-46.455	-40.922	-38.301	-48.753	-49.154	-38.955	-44.469	-47.321	-49.017	-46.744	-47.567	-50.054	-44.899	-47.315	-58.368	-66.952	-80.772
190	-25.46	-107.638	-95.539	-89.295	-79.677	-67.032	-68.092	-49.58	-34.251	-32.293	-41.301	-34.241	-34.675	-41.795	-48.681	-40.705	-33.695	-39.983	-40.738	-35.274	-45.455	-48.307	-46.797	-51.404	-61.458	-65.671	-67.251	-68.199	-70.717	-77.101	-87.728
191	-24.335	-100.204	-95.01	-84.657	-75.093	-61.543	-56.543	-49.891	-35.746	-30.722	-30.655	-34.108	-30.147	-36.762	-42.696	-43.129	-51.038	-52.382	-47.656	-45.037	-47.593	-46.115	-48.63	-54.606	-60.371	-68.814	-59.941	-63.334	-67.064	-69.707	-81.65
192	-25.71	-104.913	-97.846	-85.761	-76.581	-64.215	-59.191	-43.542	-36.872	-35.323	-42.616	-36.179	-33.018	-43.495	-42.342	-41.44	-34.326	-39.915	-44.04	-34.942	-38.662	-46.728	-42.495	-45.992	-47.447	-50.109	-40.202	-44.138	-54.399	-62.62	-77.134
193	-28.91	-105.5	-97.716	-86.838	-77.804	-65.473	-63.324	-55.606	-40.478	-36.195	-38.065	-40.445	-38.476	-45.599	-40.777	-37.835	-42.245	-47.628	-51.316	-44.78	-46.697	-39.633	-42.304	-51.403	-55.057	-57.893	-57.699	-62.736	-66.943	-71.934	-85.58
194	-24.722	-104.245	-94.033	-84.741	-73.087	-63.544	-57.703	-40.492	-35.054	-33.622	-40.334	-35.936	-32.828	-41.094	-37.926	-36.295	-33.815	-39.888	-39.26	-33.372	-41.952	-49.149	-46.854	-45.429	-48.484	-52.403	-45.274	-50.881	-58.531	-65.78	-81.194
195	-25.81	-106.616	-94.557	-87.866	-78.299	-66.567	-64.951	-50.657	-35.684	-34.423	-38.631	-35.888	-36.687	-42.281	-36.083	-38.945	-34.636	-40.194	-42.302	-35.844	-42.734	-42.375	-40.878	-45.179	-48.039	-51.64	-49.467	-55.885	-61.095	-68.548	-82.653
196	-25.91	-105.512	-95.479	-84.426	-74.356	-63.614	-59.3	-51.022	-38.517	-35.51	-40.292	-36.776	-36.101	-42.722	-45.732	-41.395	-36.07	-36.594	-39.476	-31.761	-40.853	-40.962	-41.728	-48.06	-57.208	-63.024	-58.539	-64.212	-67.634	-72.514	-84.844
197	-27.61	-98.696	-90.959	-82.169	-74.437	-58.697	-60.073	-49.355	-34.41	-36.152	-40.824	-36.875	-36.311	-43.31	-44.855	-41.314	-38.879	-41.457	-44.573	-39.331	-46.555	-47.238	-47.475	-49.946	-47.501	-50.502	-47.462	-47.637	-56.002	-65.406	-78.314
198	-27.047	-104.178	-91.815	-82.025	-73.015	-59.639	-55.726	-50.932	-39.211	-35.388	-33.005	-40.731	-35.917	-34.77	-42.24	-41.067	-39.777	-45.413	-48.706	-45.17	-44.855	-47.59	-47.356	-49.502	-53.22	-54.469	-46.956	-52.351	-61.295	-68.526	-81.457
199	-26.36	-99.954	-94.21	-86.683	-72.541	-61.586	-54.654	-51.027	-33.383	-34.375	-38.366	-34.342	-36.814	-40.368	-41.413	-40.181	-36.791	-42.755	-46.076	-39.939	-46.195	-44.355	-42.338	-48.199	-55.767	-57.06	-51.769	-51.33	-59.247	-68.269	-82.512
200	-27.972	-108.049	-94.48	-85.677	-75.17	-66.408	-61.639	-46.922	-37.458	-35.689	-38.623	-38.717	-38.989	-44.069	-43.628	-38.122	-36.784	-39.547	-41.942	-40.22	-51.276	-53.81	-53.826	-50.52	-52.939	-55.662	-50.097	-51.959	-59.026	-66.073	-77.737
