L_FB,L_SB,L_F20,L_F25,L_F32,L_F40,L_F50,L_F63,L_F80,L_F100,L_F125,L_F160,L_F200,L_F250,L_F315,L_F400,L_F500,L_F630,L_F800,L_F1k,L_F1k25,L_F1k6,L_F2k,L_F2k5,L_F3k15,L_F4k,L_F5k,L_F6k3,L_F8k,L_F10k,L_F12k5,L_F16k,L_F20k,L_S20,L_S25,L_S32,L_S40,L_S50,L_S63,L_S80,L_S100,L_S125,L_S160,L_S200,L_S250,L_S315,L_S400,L_S500,L_S630,L_S800,L_S1k,L_S1k25,L_S1k6,L_S2k,L_S2k5,L_S3k15,L_S4k,L_S5k,L_S6k3,L_S8k,L_S10k,L_S12k5,L_S16k,L_S20k
0,0,39.128,39.483,39.662,39.349,38.405,36.345,34.506,32.442,31.342,30.196,28.672,27.574,26.176,25.114,24.172,23.12,21.995,21.128,20.155,19.379,18.363,17.89,16.373,15.56,14.812,14.134,13.951,13.019,12.624,12.878,12.833,34.157,33.973,34.329,33.729,33.316,31.8,30.526,29.053,28.405,27.838,26.06,25.235,24.102,23.057,22.27,21.263,20.144,19.376,18.38,18.095,17.382,16.768,15.463,14.709,13.794,13.123,13.586,13.493,15.609,16.211,12.907
0,0,40,39.364,37.147,36.887,35.646,33.826,32.017,30.283,28.96,27.593,26.137,25.046,23.669,22.738,21.774,21.094,19.764,18.832,17.979,17.529,16.589,15.951,14.777,14.052,13.066,13.105,14.433,12.519,12.074,12.822,12.29,35.405,34.866,34.178,33.567,33.082,31.606,30.332,28.905,28.165,27.586,25.817,24.955,23.867,22.849,22.063,21.09,19.947,19.17,18.22,17.925,17.217,16.568,15.323,14.574,13.627,13.04,13.679,13.392,15.369,15.978,12.81
0,0,38.083,36.596,34.603,34.431,33.215,31.767,29.716,28.075,27.391,25.444,23.871,23.09,21.865,20.812,19.993,19.497,18.027,17.086,16.63,15.732,15.107,14.705,13.033,12.652,11.655,11.769,13.058,11.748,11.579,12.012,11.41,35.424,34.595,33.918,33.337,32.816,31.409,30.09,28.693,28.016,27.331,25.552,24.734,23.667,22.647,21.826,20.917,19.754,18.98,18.07,17.708,17.019,16.418,15.081,14.376,13.427,12.869,13.528,13.252,15.144,15.733,12.66
0,0,35.636,33.891,32.346,32.109,30.759,29.051,26.809,25.163,24.705,22.557,20.99,20.264,19.016,18.057,17.343,16.958,15.414,14.568,14.523,13.765,13.141,13.096,11.229,11.086,10.293,10.347,11.784,10.262,10.264,10.866,10.519,35.248,34.353,33.712,33.133,32.569,31.12,29.78,28.385,27.744,27.037,25.255,24.441,23.393,22.379,21.554,20.671,19.484,18.693,17.845,17.453,16.763,16.185,14.837,14.152,13.211,12.667,13.343,13.016,14.865,15.453,12.485
0,0,33.646,31.416,29.741,29.741,28.634,26.888,25.914,24.826,23.256,21.494,19.994,19.216,18.562,17.501,16.659,15.918,14.715,14.13,13.421,12.768,12.398,12.471,11.066,10.64,9.8275,9.834,11.338,9.4989,9.8738,10.269,10.19,35.041,34.092,33.432,32.851,32.3,30.852,29.595,28.237,27.548,26.824,25.061,24.234,23.221,22.201,21.346,20.442,19.296,18.53,17.62,17.236,16.559,15.999,14.688,13.994,13.053,12.517,13.219,12.811,14.619,15.19,12.341
0,0,9.1029,11.136,11.195,13.143,3.8806,4.9209,6.7942,10.081,19.315,14.775,12.073,13.399,14.732,14.425,13.878,12.936,11.819,9.8359,10.792,12.338,12.054,13.802,10.934,8.9314,8.1712,8.5055,9.7503,8.4484,8.5581,9.3069,9.3383,28.849,27.854,26.571,25.703,24.374,23.325,22.381,21.536,23.46,20.781,19.316,19.195,18.689,17.515,17.342,15.741,14.594,13.427,13.452,14.385,12.911,13.04,11.787,10.409,9.7465,9.6112,10.62,9.5095,10.242,10.687,9.8422
0,0,32.376,29.215,28.621,27.68,26.449,24.313,23.085,22.058,20.65,18.689,17.119,16.682,15.958,15.124,14.401,13.824,12.366,12.311,11.325,11.273,10.917,11.378,10.002,9.6634,8.8323,9.0617,10.608,8.8002,9.2012,9.5406,9.9367,34.902,33.862,33.251,32.616,32.041,30.575,29.298,27.953,27.242,26.515,24.784,23.946,22.941,21.924,21.082,20.202,19.028,18.274,17.337,16.996,16.311,15.774,14.47,13.774,12.842,12.33,13.032,12.58,14.346,14.913,12.194
0,0,30.847,27.155,26.278,24.998,23.831,21.583,20.213,20.805,17.896,15.856,15.005,14.499,13.588,13.055,12.683,12.172,10.559,10.775,9.4957,10.262,10.319,10.275,9.4661,9.5476,8.621,8.4318,10.218,8.2459,8.7165,9.3397,9.5756,34.72,33.602,32.95,32.307,31.735,30.267,29.042,27.72,26.978,26.098,24.496,23.693,22.62,21.662,20.809,19.921,18.774,18.015,17.084,16.731,16.091,15.523,14.212,13.586,12.638,12.119,12.863,12.349,14.078,14.651,12.02
0,0,28.342,24.373,23.389,22.723,21.334,20.718,18.448,19.389,16.113,13.223,12.881,12.282,11.353,10.919,11.229,11.388,9.3959,10.358,8.4969,9.1704,9.9612,9.618,9.1168,9.1003,8.3829,8.6952,9.8886,8.1715,8.6716,9.1555,9.3633,34.442,33.342,32.678,32.046,31.425,30.02,28.736,27.456,26.608,25.9,24.217,23.36,22.324,21.343,20.535,19.656,18.478,17.748,16.797,16.427,15.823,15.278,13.991,13.362,12.435,11.968,12.683,12.146,13.826,14.385,11.86
0,0,25.886,22.537,20.543,20.407,18.594,18.087,15.777,16.825,15.853,11.602,10.756,11.139,9.6869,9.7484,10.628,12.016,8.7343,9.078,8.104,9.5571,9.6194,9.2904,9.6008,8.8595,8.1577,8.4266,9.877,8.1683,8.6085,9.009,9.2501,34.222,33.067,32.421,31.773,31.133,29.71,28.435,27.191,26.39,25.629,23.941,23.124,22.091,21.075,20.264,19.441,18.234,17.504,16.542,16.216,15.605,15.05,13.841,13.179,12.272,11.789,12.543,11.959,13.585,14.137,11.716
